N,Iterative,Dynamic Programming,Recursive
1,0.000001,0.000000,0.000000
2,0.000001,0.000004,0.000000
3,0.000001,0.000007,0.000000
4,0.000001,0.000004,0.000000
5,0.000001,0.000005,0.000000
6,0.000001,0.000007,0.000001
7,0.000001,0.000008,0.000001
8,0.000002,0.000011,0.000002
9,0.000002,0.000010,0.000003
10,0.000002,0.000011,0.000005
11,0.000002,0.000012,0.000008
12,0.000002,0.000015,0.000016
13,0.000002,0.000014,0.000030
14,0.000003,0.000015,0.000058
15,0.000003,0.000021,0.000114
16,0.000003,0.000023,0.000225
17,0.000003,0.000018,0.000449
18,0.000003,0.000020,0.000919
19,0.000004,0.000024,0.001972
20,0.000004,0.000026,0.003659
21,0.000004,0.000027,0.007387
22,0.000005,0.000024,0.014885
23,0.000004,0.000026,0.030208
24,0.000005,0.000034,0.059662
25,0.000008,0.000049,0.117957
26,0.000005,0.000031,0.236786
27,0.000006,0.000033,0.475604
28,0.000006,0.000045,0.947858
29,0.000006,0.000035,1.971239
30,0.000009,0.000077,3.798630
